FECHA,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-06-17,0.14,19.585565476190474,0.23958333333333334,8.0,-40.0,5.0
2020-06-18,0.14,18.87127976190476,0.23958333333333334,-3.0,28.0,-46.0
2020-06-19,0.14,18.871279761904763,0.23958333333333331,-2.0,33.0,54.0
2020-06-20,0.14,20.014136904761905,0.23958333333333334,-20.0,101.0,-31.0
2020-06-21,0.14,19.72842261904762,0.23958333333333331,0.0,-12.0,-3.0
2020-06-22,0.14,25.735491071428573,0.23958333333333334,17.0,-103.0,29.0
2020-06-23,0.14,25.306919642857142,0.23958333333333334,-6.0,36.0,38.0
2020-06-24,0.14,25.306919642857142,0.23958333333333331,0.0,-5.0,-3.0
2020-06-25,0.14,24.449776785714285,0.23958333333333334,1.0,-3.0,-53.0
2020-06-26,0.14,24.449776785714285,0.23958333333333334,1.0,23.0,38.0
2020-06-27,0.14,23.449776785714285,0.23958333333333331,-17.0,92.0,-12.0
2020-06-28,0.14,30.742559523809522,0.23958333333333334,3.0,-65.0,56.0
2020-06-29,0.14,30.742559523809526,0.23958333333333331,8.0,-49.0,-63.0
2020-06-30,0.14,32.313988095238095,0.23958333333333334,5.0,-113.0,69.0
2020-07-01,0.10604225352112673,32.313988095238095,0.23958333333333334,-9.0,155.0,12.0
2020-07-02,0.10604225352112673,32.17113095238095,0.23958333333333331,0.0,3.0,3.0
2020-07-03,0.10604225352112673,32.17113095238095,0.23958333333333334,0.0,17.0,21.0
2020-07-04,0.10604225352112673,32.02827380952381,0.23958333333333334,-3.0,79.0,-26.0
2020-07-05,0.10604225352112673,27.735491071428573,0.23958333333333331,-2.0,-77.0,-77.0
2020-07-06,0.10604225352112673,21.87127976190476,0.23958333333333334,8.0,-167.0,97.0
2020-07-07,0.10604225352112673,27.592633928571423,0.23958333333333331,-6.0,144.0,-4.0
2020-07-08,0.10604225352112673,27.592633928571427,0.23958333333333334,3.0,-28.0,3.0
2020-07-09,0.10604225352112673,34.742559523809526,0.23958333333333334,8.0,3.0,-16.0
2020-07-10,0.10604225352112673,31.449776785714285,0.23958333333333331,6.0,-12.0,-25.0
2020-07-11,0.10604225352112673,31.306919642857142,0.23958333333333334,-20.0,76.0,23.0
2020-07-12,0.10604225352112673,28.735491071428573,0.23958333333333334,3.0,-12.0,-79.0
2020-07-13,0.10604225352112673,27.449776785714285,0.23958333333333331,5.0,-36.0,96.0
2020-07-14,0.10604225352112673,20.72842261904762,0.23958333333333334,-1.0,1.0,-8.0
2020-07-15,0.10604225352112673,20.728422619047617,0.23958333333333331,-5.0,-12.0,34.0
2020-07-16,0.10604225352112673,18.149925595238095,0.23958333333333334,4.0,-21.0,0.0
2020-07-17,0.10604225352112673,15.43563988095238,0.23958333333333334,-2.0,72.0,26.0
2020-07-18,0.10604225352112673,15.578497023809522,0.23958333333333331,-4.0,86.0,-25.0
2020-07-19,0.10604225352112673,22.442708333333332,0.23958333333333334,3.0,-100.0,-101.0
2020-07-20,0.10604225352112673,24.0141369047619,0.23958333333333334,2.0,-8.0,57.0
2020-07-21,0.10604225352112673,26.156994047619044,0.23958333333333331,4.0,4.0,43.0
2020-07-22,0.10604225352112673,26.156994047619044,0.23958333333333334,-2.0,0.0,-1.0
2020-07-23,0.10604225352112673,23.442708333333332,0.23958333333333331,3.0,-6.0,-6.0
2020-07-24,0.10604225352112673,26.156994047619044,0.23958333333333334,-4.0,27.0,29.0
2020-07-25,0.10604225352112673,33.306919642857146,0.23958333333333334,-12.0,50.0,-53.0
2020-07-26,0.10604225352112673,33.306919642857146,0.23958333333333331,6.0,-58.0,-52.0
2020-07-27,0.10604225352112673,34.73549107142857,0.23958333333333334,5.0,-4.0,88.0
2020-07-28,0.10604225352112673,39.313988095238095,0.23958333333333334,2.0,-2.0,-13.0
2020-07-29,0.10604225352112673,33.87834821428571,0.23958333333333331,-2.0,1.0,-18.0
2020-07-30,0.10604225352112673,33.1640625,0.23958333333333334,2.0,-7.0,-41.0
2020-07-31,0.10604225352112673,29.592633928571427,0.23958333333333331,-2.0,34.0,34.0
2020-08-01,0.10604225352112673,30.156994047619044,0.23958333333333334,-13.0,59.0,23.0
2020-08-02,0.10604225352112673,24.721354166666664,0.23958333333333334,8.0,-62.0,-81.0
2020-08-03,0.10604225352112673,24.149925595238095,0.23958333333333331,8.0,-34.0,23.0
2020-08-04,0.10604225352112673,17.142857142857142,0.23958333333333334,0.0,-5.0,37.0
2020-08-05,0.10604225352112673,19.857142857142858,0.23958333333333334,-4.0,32.0,-107.0
2020-08-06,0.10604225352112673,18.714285714285715,0.23958333333333331,4.0,-2.0,63.0
2020-08-07,0.10604225352112673,22.0,0.23958333333333334,-7.0,65.0,40.0
2020-08-08,0.10604225352112673,17.857142857142858,0.23958333333333331,-2.0,84.0,-51.0
2020-08-09,0.10604225352112673,19.714285714285715,0.23958333333333334,0.0,-38.0,-41.0
2020-08-10,0.10604225352112673,17.428571428571427,0.23958333333333334,7.0,-77.0,18.0
2020-08-11,0.10604225352112673,20.571428571428573,0.23958333333333331,5.0,14.0,27.0
2020-08-12,0.10604225352112673,16.0,0.23958333333333334,-5.0,12.0,-40.0
2020-08-13,0.10604225352112673,23.1499255952381,0.23958333333333334,2.0,-22.0,-29.0
2020-08-14,0.10604225352112673,20.435639880952383,0.23958333333333331,-3.0,49.0,22.0
2020-08-15,0.10604225352112673,33.72135416666667,0.23958333333333334,-2.0,54.0,17.0
2020-08-16,0.10604225352112673,31.578497023809526,0.23958333333333331,-1.0,-54.0,-44.0
2020-08-17,0.10604225352112673,38.585565476190474,0.23958333333333334,27.0,-142.0,44.0
2020-08-18,0.10604225352112673,45.15699404761905,0.23958333333333334,-2.0,2.0,2.0
2020-08-19,0.10604225352112673,46.871279761904766,0.23958333333333331,1.0,-2.0,-6.0
2020-08-20,0.10604225352112673,42.57849702380952,0.23958333333333334,4.0,1.0,-4.0
2020-08-21,0.10604225352112673,42.57849702380952,0.23958333333333334,0.0,8.0,27.0
2020-08-22,0.10604225352112673,27.43563988095238,0.23958333333333331,-6.0,30.0,5.0
2020-08-23,0.10604225352112673,25.864211309523814,0.23958333333333334,-17.0,29.0,44.0
2020-08-24,0.10604225352112673,23.428571428571427,0.23958333333333331,2.0,-3.0,19.0
2020-08-25,0.10604225352112673,15.285714285714286,0.23958333333333334,1.0,2.0,-5.0
2020-08-26,0.10604225352112673,20.864211309523807,0.23958333333333334,-3.0,-5.0,10.0
2020-08-27,0.10604225352112673,18.721354166666664,0.23958333333333331,5.0,-40.0,-31.0
2020-08-28,0.10604225352112673,21.721354166666664,0.23958333333333334,4.0,33.0,0.0
2020-08-29,0.10604225352112673,20.43563988095238,0.23958333333333334,-6.0,32.0,35.0
2020-08-30,0.10604225352112673,20.721354166666664,0.23958333333333331,-6.0,-19.0,-26.0
2020-08-31,0.10604225352112673,23.156994047619044,0.23958333333333334,7.0,-8.0,-3.0
2020-09-01,0.14,22.442708333333332,0.23958333333333331,-4.0,10.0,16.0
2020-09-02,0.14,22.442708333333336,0.23958333333333334,-1.0,-5.0,-3.0
2020-09-03,0.14,24.299851190476193,0.23958333333333334,-1.0,8.0,6.0
2020-09-04,0.14,21.014136904761905,0.23958333333333331,3.0,-12.0,-2.0
2020-09-05,0.14,22.585565476190478,0.23958333333333334,-9.0,44.0,65.0
2020-09-06,0.14,29.585565476190478,0.23958333333333334,1.0,-32.0,-71.0
2020-09-07,0.14,29.585565476190478,0.23958333333333331,5.0,-5.0,15.0
2020-09-08,0.14,29.585565476190474,0.23958333333333334,-2.0,5.0,25.0
2020-09-09,0.14,32.00706845238095,0.23958333333333331,-1.0,-9.0,-35.0
2020-09-10,0.14,49.292782738095234,0.23958333333333334,6.0,-13.0,-20.0
2020-09-11,0.14,55.00706845238095,0.23958333333333334,17.0,-76.0,-135.0
2020-09-12,0.14,57.721354166666664,0.23958333333333331,-17.0,71.0,10.0
2020-09-13,0.14,52.292782738095234,0.23958333333333334,-1.0,-65.0,-24.0
2020-09-14,0.14,52.29278273809524,0.23958333333333334,18.0,-12.0,39.0
2020-09-15,0.14,58.43563988095237,0.23958333333333331,1.0,-6.0,-42.0
2020-09-16,0.14,52.292782738095234,0.23958333333333334,5.0,3.0,35.0
2020-09-17,0.14,36.149925595238095,0.23958333333333331,3.0,24.0,-4.0
2020-09-18,0.14,31.578497023809522,0.23958333333333334,2.0,1.0,3.0
2020-09-19,0.14,30.864211309523807,0.23958333333333334,-22.0,102.0,75.0
2020-09-20,0.14,29.864211309523807,0.23958333333333331,-2.0,-91.0,-101.0
2020-09-21,0.14,37.714285714285715,0.23958333333333334,7.0,31.0,134.0
2020-09-22,0.14,33.285714285714285,0.23958333333333334,4.0,-35.0,-64.0
2020-09-23,0.14,37.007068452380956,0.23958333333333331,34.0,-60.0,35.0
2020-09-24,0.14,43.43563988095237,0.23958333333333334,5.0,18.0,0.0
2020-09-25,0.14,48.43563988095237,0.23958333333333331,-14.0,14.0,-15.0
2020-09-26,0.14,48.43563988095237,0.23958333333333334,-20.0,61.0,89.0
2020-09-27,0.14,53.57849702380952,0.23958333333333334,6.0,-147.0,-164.0
2020-09-28,0.14,45.43563988095237,0.23958333333333331,17.0,98.0,130.0
2020-09-29,0.14,46.43563988095237,0.23958333333333334,-17.0,-3.0,-57.0
2020-09-30,0.14,43.42857142857143,0.23958333333333334,-15.0,-58.0,37.0
2020-10-01,0.10400000000000001,37.57142857142857,0.23958333333333331,-30.0,-58.0,8.0
2020-10-02,0.10400000000000001,38.285714285714285,0.23958333333333334,6.0,-151.0,-15.0
2020-10-03,0.10400000000000001,36.42857142857143,0.23958333333333331,-5.0,211.0,114.0
2020-10-04,0.10400000000000001,37.72135416666667,0.23958333333333334,11.0,-183.0,-214.0
