FECHA,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-06-17,0.621,103.80505952380952,2.950892857142857,0.0,9.0,5.0
2020-06-18,0.621,103.23363095238095,3.3154761904761902,7.0,-3.0,-7.0
2020-06-19,0.621,61.90252976190476,3.3154761904761902,1.0,2.0,-11.0
2020-06-20,0.621,61.90252976190476,3.3154761904761907,-9.0,30.0,-13.0
2020-06-21,0.621,70.61681547619047,2.8080357142857144,7.0,9.0,-24.0
2020-06-22,0.621,69.33110119047619,3.0297619047619047,3.0,-41.0,34.0
2020-06-23,0.621,70.0453869047619,3.0297619047619047,4.0,-19.0,-8.0
2020-06-24,0.621,74.33110119047618,3.5372023809523805,-2.0,6.0,11.0
2020-06-25,0.621,76.47395833333333,3.5372023809523805,9.0,3.0,-7.0
2020-06-26,0.621,117.80505952380952,3.5372023809523805,-1.0,1.0,-8.0
2020-06-27,0.621,91.0453869047619,3.029761904761904,-6.0,19.0,-17.0
2020-06-28,0.621,123.09077380952378,3.5372023809523805,-6.0,33.0,4.0
2020-06-29,0.621,164.13616071428572,3.5372023809523805,12.0,-53.0,6.0
2020-06-30,0.621,174.99330357142858,3.6800595238095233,-4.0,-9.0,6.0
2020-07-01,1.155483870967742,210.03869047619045,3.6800595238095233,-5.0,14.0,6.0
2020-07-02,1.155483870967742,216.75297619047618,3.6800595238095233,4.0,-9.0,6.0
2020-07-03,1.155483870967742,216.75297619047618,3.6800595238095233,-4.0,12.0,1.0
2020-07-04,1.155483870967742,243.5126488095238,4.187499999999999,-10.0,29.0,-14.0
2020-07-05,1.155483870967742,243.5126488095238,4.187499999999999,1.0,17.0,-8.0
2020-07-06,1.155483870967742,243.5126488095238,4.1875,7.0,-45.0,16.0
2020-07-07,1.155483870967742,248.2269345238095,4.1875,-3.0,-12.0,10.0
2020-07-08,1.155483870967742,215.89583333333331,4.1875,-2.0,11.0,4.0
2020-07-09,1.155483870967742,223.75297619047618,4.187499999999999,7.0,-3.0,7.0
2020-07-10,1.155483870967742,197.56473214285714,3.9657738095238093,1.0,4.0,-14.0
2020-07-11,1.155483870967742,163.3764880952381,3.458333333333333,-9.0,19.0,-14.0
2020-07-12,1.155483870967742,131.47395833333331,3.458333333333333,-1.0,25.0,-6.0
2020-07-13,1.155483870967742,95.14285714285714,3.4583333333333335,6.0,-46.0,15.0
2020-07-14,1.155483870967742,85.85714285714286,3.822916666666667,-1.0,-11.0,7.0
2020-07-15,1.155483870967742,84.0,3.601190476190476,-2.0,10.0,21.0
2020-07-16,1.155483870967742,84.57142857142857,3.09375,7.0,-1.0,1.0
2020-07-17,1.155483870967742,80.0,3.09375,1.0,5.0,-13.0
2020-07-18,1.155483870967742,79.57142857142857,3.3794642857142856,-12.0,30.0,-18.0
2020-07-19,1.155483870967742,83.0,3.3794642857142856,2.0,14.0,-13.0
2020-07-20,1.155483870967742,89.14285714285714,2.8720238095238093,9.0,-47.0,24.0
2020-07-21,1.155483870967742,92.57142857142857,2.364583333333333,-6.0,-7.0,8.0
2020-07-22,1.155483870967742,100.57142857142857,2.0788690476190474,-3.0,10.0,12.0
2020-07-23,1.155483870967742,96.71428571428571,2.364583333333333,6.0,-3.0,-1.0
2020-07-24,1.155483870967742,97.57142857142857,2.0788690476190474,0.0,6.0,-5.0
2020-07-25,1.155483870967742,108.57142857142857,2.0788690476190474,-6.0,23.0,-28.0
2020-07-26,1.155483870967742,112.42857142857143,1.7142857142857142,-2.0,11.0,-4.0
2020-07-27,1.155483870967742,111.42857142857143,2.0,7.0,-40.0,24.0
2020-07-28,1.155483870967742,142.47395833333331,2.507440476190476,-1.0,-11.0,-1.0
